AcademicYear,Quarter,CensusDate,CourseCode,Section,CRN,Instructor,Capacity,Enrolled,SeatsRemaining,Waitlist,Campus,Days,StartTime,EndTime,Credits,ScheduleType,DeliveryMode,Room,Building
2022-23,Fall,,DESN 100,001,,,25,21,4,0,,,,,5,,,,
2022-23,Fall,,DESN 100,040,,,24,22,2,0,,,,,5,,,,
2022-23,Fall,,DESN 200,040,,,27,24,3,0,,,,,5,,,,
2022-23,Fall,,DESN 216,025,,,24,24,0,0,,,,,5,,,,
2022-23,Fall,,DESN 216,026,,,24,24,0,0,,,,,5,,,,
2022-23,Fall,,DESN 216,040,,,24,20,4,0,,,,,5,,,,
2022-23,Fall,,DESN 243,040,,,24,7,17,0,,,,,5,,,,
2022-23,Fall,,DESN 263,040,,,24,12,12,0,,,,,5,,,,
2022-23,Fall,,DESN 301,040,,,24,15,9,0,,,,,5,,,,
2022-23,Fall,,DESN 338,025,,,24,15,9,0,,,,,5,,,,
2022-23,Fall,,DESN 338,040,,,24,15,9,0,,,,,5,,,,
2022-23,Fall,,DESN 350,040,,,24,18,6,0,,,,,5,,,,
2022-23,Fall,,DESN 355,040,,,24,20,4,0,,,,,5,,,,
2022-23,Fall,,DESN 363,040,,,24,14,10,0,,,,,5,,,,
2022-23,Fall,,DESN 366,040,,,24,10,14,0,,,,,5,,,,
2022-23,Fall,,DESN 368,040,,,24,21,3,0,,,,,5,,,,
2022-23,Fall,,DESN 458,040,,,24,12,12,0,,,,,5,,,,
2022-23,Fall,,DESN 463,040,,,24,16,8,0,,,,,5,,,,
2022-23,Fall,,DESN 468,040,,,24,12,12,0,,,,,5,,,,
2022-23,Fall,,DESN 480,040,,,24,17,7,0,,,,,5,,,,
2022-23,Fall,,DESN 490,040,,,24,16,8,0,,,,,5,,,,
2022-23,Fall,,DESN 493,040,,,24,11,13,0,,,,,5,,,,
2022-23,Fall,,DESN 495,040,,,5,0,5,0,,,,,5,,,,
2022-23,Fall,,DESN 495,041,,,4,4,0,0,,,,,5,,,,
2022-23,Fall,,DESN 495,042,,,1,1,0,0,,,,,5,,,,
2022-23,Fall,,DESN 499,040,,,5,0,5,0,,,,,5,,,,
2022-23,Fall,,DESN 499,041,,,5,0,5,0,,,,,5,,,,
2022-23,Fall,,DESN 499,042,,,1,1,0,0,,,,,5,,,,
2022-23,Fall,,DESN 499,043,,,1,1,0,0,,,,,5,,,,
2022-23,Fall,,DESN 499,044,,,1,1,0,0,,,,,5,,,,
2022-23,Fall,,DESN 499,045,,,2,1,1,0,,,,,5,,,,
2022-23,Fall,,DESN 499,046,,,1,1,0,0,,,,,5,,,,
2022-23,Fall,,DESN 499,047,,,1,1,0,0,,,,,5,,,,
2022-23,Winter,,DESN 100,001,,,24,22,2,0,,,,,5,,,,
2022-23,Winter,,DESN 100,040,,,24,15,9,0,,,,,5,,,,
2022-23,Winter,,DESN 200,040,,,24,22,2,0,,,,,5,,,,
2022-23,Winter,,DESN 216,027,,,27,26,1,0,,,,,5,,,,
2022-23,Winter,,DESN 216,040,,,24,10,14,0,,,,,5,,,,
2022-23,Winter,,DESN 216,041,,,24,14,10,0,,,,,5,,,,
2022-23,Winter,,DESN 216,075,,,5,1,4,0,,,,,5,,,,
2022-23,Winter,,DESN 243,040,,,24,16,8,0,,,,,5,,,,
2022-23,Winter,,DESN 263,040,,,24,22,2,0,,,,,5,,,,
2022-23,Winter,,DESN 301,040,,,24,20,4,0,,,,,5,,,,
2022-23,Winter,,DESN 325,040,,,24,23,1,0,,,,,5,,,,
2022-23,Winter,,DESN 338,040,,,24,11,13,0,,,,,5,,,,
2022-23,Winter,,DESN 348,040,,,24,18,6,0,,,,,5,,,,
2022-23,Winter,,DESN 350,040,,,24,11,13,0,,,,,5,,,,
2022-23,Winter,,DESN 351,040,,,24,13,11,0,,,,,5,,,,
2022-23,Winter,,DESN 355,040,,,24,13,11,0,,,,,5,,,,
2022-23,Winter,,DESN 359,040,,,24,13,11,0,,,,,5,,,,
2022-23,Winter,,DESN 360,040,,,24,18,6,0,,,,,5,,,,
2022-23,Winter,,DESN 363,040,,,24,5,19,0,,,,,5,,,,
2022-23,Winter,,DESN 368,025,,,24,20,4,0,,,,,5,,,,
